epc,FirstSeenTime,LastSeenTime,Channel,PeakRSSI,PhaseAngle,DopplerFreq
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126601263,0,920.625,-57,0.558369006790373,-10.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126609969,0,920.625,-57.5,0.595184545699629,-1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126624474,0,920.625,-57,0.558369006790373,7.3125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126632040,0,920.625,-57,0.699495239275852,-39
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126644798,0,920.625,-57.5,0.613592315154257,-16.25
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126658039,0,920.625,-57,0.650407854063512,-25.1875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126669013,0,920.625,-57.5,0.607456392002714,-4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126679717,0,920.625,-57,0.589048622548086,-10.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126688228,0,920.625,-57,0.570640853093458,5.6875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126702553,0,920.625,-57,0.619728238305799,-13
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126714216,0,920.625,-57.5,0.595184545699629,-4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126723347,0,920.625,-57.5,0.601320468851171,-1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126735271,0,920.625,-57,0.632000084608884,-17.875
